external_gene_name;transcript_id;Isoform_id;gene_id;uniprotswissprot
CIROP;ENST00000637218;A0A1B0GTW7-1;ENSG00000283654;A0A1B0GTW7
CIROP;ENST00000644000;A0A1B0GTW7-2;ENSG00000283654;A0A1B0GTW7
TEX50;ENST00000417563;;ENSG00000232113;A0A1B0GTY4
CCDC196;ENST00000636229;;ENSG00000196553;A0A1B0GTZ2
SMIM28;ENST00000573100;;ENSG00000262543;A0A1B0GU29
TEX53;ENST00000423632;;ENSG00000230054;A0A1B0GU33
CFAP97D2;ENST00000636692;;ENSG00000283361;A0A1B0GU71
SMIM32;ENST00000607574;;ENSG00000271824;A0A1B0GUA5
CCDC195;ENST00000638102;;ENSG00000283428;A0A1B0GUA6
TEX51;ENST00000568484;;ENSG00000237524;A0A1B0GUA7
TEX51;ENST00000450035;;ENSG00000237524;A0A1B0GUA7
C13orf46;ENST00000636000;;ENSG00000283302;A0A1B0GUA9
C13orf46;ENST00000636427;;ENSG00000283199;A0A1B0GUA9
MYOCOS;ENST00000637303;;ENSG00000283683;A0A1B0GUC4
BRD3OS;ENST00000603928;;ENSG00000235106;A0A1B0GUI7
BRD3OS;ENST00000432807;;ENSG00000235106;A0A1B0GUI7
PNMA8C;ENST00000617053;;ENSG00000277531;A0A1B0GUJ8
FAM236A;ENST00000611003;;ENSG00000275520;A0A1B0GUQ0
C19orf85;ENST00000635964;;ENSG00000283567;A0A1B0GUS0
UBE2L5;ENST00000638137;;ENSG00000236444;A0A1B0GUS4
UBE2L5;ENST00000635918;;ENSG00000236444;A0A1B0GUS4
UBE2L5;ENST00000436446;;ENSG00000236444;A0A1B0GUS4
C10orf143;ENST00000637128;;ENSG00000237489;A0A1B0GUT2
C17orf113;ENST00000587304;;ENSG00000267221;A0A1B0GUU1
C17orf114;ENST00000635921;;ENSG00000262165;A0A1B0GUV1
TEX48;ENST00000436752;;ENSG00000230601;A0A1B0GUV7
SPEM3;ENST00000640133;;ENSG00000284090;A0A1B0GUW6
SPEM3;ENST00000636696;;ENSG00000283439;A0A1B0GUW6
SMIM27;ENST00000453396;;ENSG00000235453;A0A1B0GUW7
SMIM27;ENST00000450093;;ENSG00000235453;A0A1B0GUW7
SMIM27;ENST00000692500;;ENSG00000235453;A0A1B0GUW7
SPMIP1;ENST00000609480;;ENSG00000272899;A0A1B0GUX0
MARCOL;ENST00000638089;;ENSG00000248109;A0A1B0GUY1
GOLGA6L7;ENST00000567390;;ENSG00000261649;A0A1B0GV03
FAM236B;ENST00000596535;;ENSG00000268994;A0A1B0GV22
REELD1;ENST00000636502;;ENSG00000250673;A0A1B0GV85
REELD1;ENST00000623665;;ENSG00000250673;A0A1B0GV85
CTXND2;ENST00000636087;;ENSG00000283324;A0A1B0GV90
CHD9NB;ENST00000619363;;ENSG00000277639;A0A1B0GV96
FAM237B;ENST00000637645;;ENSG00000283267;A0A1B0GVD1
FAM237B;ENST00000692316;;ENSG00000283267;A0A1B0GVD1
CCDC194;ENST00000636079;;ENSG00000269720;A0A1B0GVG4
TEX54;ENST00000636508;;ENSG00000283268;A0A1B0GVG6
PRSS51;ENST00000636217;;ENSG00000253649;A0A1B0GVH4
C13orf42;ENST00000563710;;ENSG00000226792;A0A1B0GVH6
IQCM;ENST00000636793;;ENSG00000234828;A0A1B0GVH7
FAM240A;ENST00000640551;;ENSG00000283473;A0A1B0GVK7
ETDC;ENST00000635820;;ENSG00000283644;A0A1B0GVM5
C11orf97;ENST00000542198;;ENSG00000257057;A0A1B0GVM6
C2orf92;ENST00000627399;;ENSG00000228486;A0A1B0GVN3
SPAAR;ENST00000443779;A0A1B0GVQ0-2;ENSG00000235387;A0A1B0GVQ0
SPAAR;ENST00000636776;A0A1B0GVQ0-2;ENSG00000235387;A0A1B0GVQ0
CCDC200;ENST00000636331;;ENSG00000236383;A0A1B0GVQ3
CCDC200;ENST00000594691;;ENSG00000236383;A0A1B0GVQ3
FAM240C;ENST00000404031;;ENSG00000216921;A0A1B0GVR7
MDFIC2;ENST00000567252;A0A1B0GVS7-1;ENSG00000242120;A0A1B0GVS7
SMIM36;ENST00000636752;;ENSG00000261873;A0A1B0GVT2
SMIM35;ENST00000689828;;ENSG00000255274;A0A1B0GVV1
SMIM35;ENST00000636151;;ENSG00000255274;A0A1B0GVV1
LITAFD;ENST00000636296;;ENSG00000283516;A0A1B0GVX0
LITAFD;ENST00000637237;;ENSG00000283516;A0A1B0GVX0
SMIM31;ENST00000515485;;ENSG00000248771;A0A1B0GVY4
SMIM31;ENST00000507311;;ENSG00000248771;A0A1B0GVY4
FAM240B;ENST00000637691;;ENSG00000283329;A0A1B0GVZ2
FAM240B;ENST00000637493;;ENSG00000283329;A0A1B0GVZ2
MBD3L2B;ENST00000636986;;ENSG00000196589;A0A1B0GVZ6
TMEM269;ENST00000536543;;ENSG00000274386;A0A1B0GVZ9
EXOC1L;ENST00000636125;;ENSG00000250821;A0A1B0GW35
SMIM39;ENST00000635976;;ENSG00000284479;A0A1B0GW54
SMIM33;ENST00000671802;;ENSG00000288274;A0A1B0GW64
SMIM33;ENST00000637503;;ENSG00000283288;A0A1B0GW64
PRRT1B;ENST00000636672;;ENSG00000283526;A0A1B0GWB2
SERTM2;ENST00000569275;;ENSG00000260802;A0A1B0GWG4
HSFX3;ENST00000431993;;ENSG00000283697;A0A1B0GWH4
LASP1NB;ENST00000583195;;ENSG00000263874;A0A1B0GWH6
PVALEF;ENST00000637878;;ENSG00000225180;A0A1B0GWK0
TAF11L5;ENST00000638483;;ENSG00000284234;A0A1W2PP81
THSD8;ENST00000639810;;ENSG00000284491;A0A1W2PP97
KDM4F;ENST00000545950;;ENSG00000255855;A0A1W2PPD8
TAF11L4;ENST00000638408;;ENSG00000284283;A0A1W2PPE2
DUXB;ENST00000633875;;ENSG00000282757;A0A1W2PPF3
GNG14;ENST00000640117;;ENSG00000283980;A0A1W2PPG7
TAF11L13;ENST00000639073;;ENSG00000283776;A0A1W2PPH5
CPHXL2;ENST00000640173;;ENSG00000284484;A0A1W2PPK0
TAF11L14;ENST00000512227;;ENSG00000250782;A0A1W2PPL8
CPHXL;ENST00000640559;;ENSG00000283755;A0A1W2PPM1
TAF11L12;ENST00000503184;;ENSG00000249156;A0A1W2PPW3
TAF11L11;ENST00000510838;;ENSG00000283740;A0A1W2PQ09
SSU72L1;ENST00000524542;;ENSG00000284438;A0A1W2PQ27
SSU72L5;ENST00000639584;;ENSG00000284018;A0A1W2PQ64
MSANTD7;ENST00000640019;;ENSG00000284024;A0A1W2PQ72
ERFL;ENST00000597630;;ENSG00000268041;A0A1W2PQ73
SSU72L4;ENST00000638166;;ENSG00000283873;A0A1W2PQC6
SSU72L2;ENST00000640805;;ENSG00000284306;A0A1W2PQD8
SSU72L3;ENST00000640302;;ENSG00000284546;A0A1W2PQJ5
ZNF722;ENST00000330020;;ENSG00000241149;A0A1W2PQL4
GSTT4;ENST00000621179;;ENSG00000276950;A0A1W2PR19
TLE7;ENST00000561754;;ENSG00000260734;A0A1W2PR48
TAF11L9;ENST00000639969;;ENSG00000283988;A0A1W2PR64
SSU72L6;ENST00000473520;;ENSG00000230268;A0A1W2PR75
PERCC1;ENST00000640283;;ENSG00000284395;A0A1W2PR82
IGBP1C;ENST00000583666;;ENSG00000266826;A0A1W2PR95
FOXL3;ENST00000506382;;ENSG00000248767;A0A1W2PRP0
TAF11L3;ENST00000638668;;ENSG00000284439;A0A1W2PRV1
PMIS2;ENST00000640449;;ENSG00000283758;A0A1W2PS18
SCYGR4;ENST00000641801;;ENSG00000284631;A0A286YEV6
SCYGR1;ENST00000641359;;ENSG00000284629;A0A286YEY9
SCYGR7;ENST00000641700;;ENSG00000284718;A0A286YF01
SMIM44;ENST00000641816;;ENSG00000284638;A0A286YF18
SCYGR5;ENST00000641976;;ENSG00000284667;A0A286YF46
TMEM271;ENST00000610212;;ENSG00000273238;A0A286YF58
SCYGR3;ENST00000642029;;ENSG00000284704;A0A286YF60
SCYGR6;ENST00000641918;;ENSG00000284725;A0A286YF77
SCYGR2;ENST00000641394;;ENSG00000284643;A0A286YFB4
SCYGR8;ENST00000641981;;ENSG00000284635;A0A286YFG1
SMIM38;ENST00000641568;;ENSG00000284713;A0A286YFK9
SMIM38;ENST00000686937;;ENSG00000284713;A0A286YFK9
SMIM38;ENST00000686237;;ENSG00000284713;A0A286YFK9
C8orf90;ENST00000707629;;ENSG00000291474;A0A2R8Y2Y2
C8orf90;ENST00000643770;;ENSG00000226490;A0A2R8Y2Y2
HNRNPA1L3;ENST00000565308;;ENSG00000224578;A0A2R8Y4L2
HNRNPA1L3;ENST00000698152;;ENSG00000224578;A0A2R8Y4L2
OOSP4B;ENST00000645128;;ENSG00000285463;A0A2R8Y4Y8
OOSP4B;ENST00000642343;;ENSG00000255393;A0A2R8Y4Y8
H2BK1;ENST00000644661;;ENSG00000285480;A0A2R8Y619
TINCR;ENST00000646160;;ENSG00000223573;A0A2R8Y7D0
SMIM41;ENST00000546390;;ENSG00000284791;A0A2R8YCJ5
OOSP4A;ENST00000643613;;ENSG00000285375;A0A2R8YFL7
OOSP4A;ENST00000645590;;ENSG00000285010;A0A2R8YFL7
OOSP3;ENST00000646438;;ENSG00000285231;A0A2R8YFM6
FOXO3B;ENST00000395675;;ENSG00000240445;A0A2Z4LIS9
MCTS2;ENST00000394552;;ENSG00000101898;A0A3B3IRV3
POLGARF;ENST00000706918;;ENSG00000291307;A0A3B3IS91
TRIM51G;ENST00000534741;;ENSG00000220948;A0A3B3IT33
MSANTD5;ENST00000648368;;ENSG00000285891;A0A3B3IT52
RAMACL;ENST00000444122;;ENSG00000235272;A0A3B3IU46
H2AL3;ENST00000448797;;ENSG00000229674;A0A3B3IU63
TMEM217B;ENST00000650812;;ENSG00000286105;A0A494BZU4
TMEM217B;ENST00000497775;;ENSG00000286105;A0A494BZU4
TMEM217B;ENST00000478262;;ENSG00000286105;A0A494BZU4
PWWP4;ENST00000458091;;ENSG00000278803;A0A494C071
SPDYE21;ENST00000424157;;ENSG00000230358;A0A494C086
FAM246B;ENST00000652395;;ENSG00000286175;A0A494C0N9
FAM246A;ENST00000652479;;ENSG00000286102;A0A494C0Y3
SPDYE13;ENST00000652175;;ENSG00000286038;A0A494C0Z2
SPADH;ENST00000652090;;ENSG00000286135;A0A494C103
SPDYE9;ENST00000575125;;ENSG00000262461;A0A494C191
TSPY9;ENST00000440215;;ENSG00000238074;A0A494C1R9
SMIM42;ENST00000672824;;ENSG00000288460;A0A5F9ZH02
NFILZ;ENST00000691075;;ENSG00000268480;A0A5F9ZHS7
NFILZ;ENST00000671902;;ENSG00000268480;A0A5F9ZHS7
NFILZ;ENST00000673603;;ENSG00000268480;A0A5F9ZHS7
NFILZ;ENST00000570582;;ENSG00000268480;A0A5F9ZHS7
TUG1;ENST00000644773;;ENSG00000253352;A0A6I8PU40
HAPSTR2;ENST00000453380;;ENSG00000230707;A0A7P0TBJ1
GNG5B;ENST00000372054;;ENSG00000133136;A0A804HLA8
GNG5B;ENST00000697560;;ENSG00000133136;A0A804HLA8
RPSA2;ENST00000484897;;ENSG00000288920;A0A8I5KQE6
KANSL1L;ENST00000281772;A0AUZ9-1;ENSG00000144445;A0AUZ9
KANSL1L;ENST00000418791;A0AUZ9-2;ENSG00000144445;A0AUZ9
KANSL1L;ENST00000457374;A0AUZ9-3;ENSG00000144445;A0AUZ9
KANSL1L;ENST00000452086;A0AUZ9-3;ENSG00000144445;A0AUZ9
SLC12A8;ENST00000430155;A0AV02-3;ENSG00000221955;A0AV02
SLC12A8;ENST00000393469;A0AV02-1;ENSG00000221955;A0AV02
SLC12A8;ENST00000469902;A0AV02-1;ENSG00000221955;A0AV02
RBM47;ENST00000381793;A0AV96-1;ENSG00000163694;A0AV96
RBM47;ENST00000381795;A0AV96-2;ENSG00000163694;A0AV96
RBM47;ENST00000295971;A0AV96-1;ENSG00000163694;A0AV96
IFT56;ENST00000430935;A0AVF1-2;ENSG00000105948;A0AVF1
IFT56;ENST00000464848;A0AVF1-1;ENSG00000105948;A0AVF1
IFT56;ENST00000343187;A0AVF1-3;ENSG00000105948;A0AVF1
FER1L5;ENST00000624922;A0AVI2-1;ENSG00000249715;A0AVI2
TMEM129;ENST00000382936;A0AVI4-1;ENSG00000168936;A0AVI4
TMEM129;ENST00000303277;A0AVI4-2;ENSG00000168936;A0AVI4
E2F8;ENST00000527884;;ENSG00000129173;A0AVK6
E2F8;ENST00000250024;;ENSG00000129173;A0AVK6
E2F8;ENST00000620009;;ENSG00000129173;A0AVK6
UBA6;ENST00000322244;A0AVT1-1;ENSG00000033178;A0AVT1
UBA6;ENST00000420827;A0AVT1-3;ENSG00000033178;A0AVT1
ESYT2;ENST00000652148;A0FGR8-2;ENSG00000117868;A0FGR8
ESYT3;ENST00000389567;A0FGR9-1;ENSG00000158220;A0FGR9
MED19;ENST00000337672;A0JLT2-2;ENSG00000156603;A0JLT2
BLTP3B;ENST00000279907;A0JNW5-1;ENSG00000111647;A0JNW5
BLTP3B;ENST00000356828;A0JNW5-2;ENSG00000111647;A0JNW5
POTEB3;ENST00000611217;A0JP26-1;ENSG00000278522;A0JP26
SHTN1;ENST00000615301;A0MZ66-2;ENSG00000187164;A0MZ66
SHTN1;ENST00000392901;A0MZ66-8;ENSG00000187164;A0MZ66
SHTN1;ENST00000355371;A0MZ66-1;ENSG00000187164;A0MZ66
SHTN1;ENST00000260777;A0MZ66-5;ENSG00000187164;A0MZ66
SHTN1;ENST00000392903;A0MZ66-4;ENSG00000187164;A0MZ66
PLSCR5;ENST00000492200;A0PG75-1;ENSG00000231213;A0PG75
PLSCR5;ENST00000482567;A0PG75-2;ENSG00000231213;A0PG75
PLSCR5;ENST00000443512;A0PG75-1;ENSG00000231213;A0PG75
DHRS12;ENST00000682342;A0PJE2-1;ENSG00000102796;A0PJE2
DHRS12;ENST00000444610;A0PJE2-4;ENSG00000102796;A0PJE2
DHRS12;ENST00000218981;A0PJE2-2;ENSG00000102796;A0PJE2
DHRS12;ENST00000280056;A0PJE2-3;ENSG00000102796;A0PJE2
SLC5A10;ENST00000317977;A0PJK1-3;ENSG00000154025;A0PJK1
SLC5A10;ENST00000395647;A0PJK1-4;ENSG00000154025;A0PJK1
SLC5A10;ENST00000417251;A0PJK1-5;ENSG00000154025;A0PJK1
SLC5A10;ENST00000395645;A0PJK1-1;ENSG00000154025;A0PJK1
SLC5A10;ENST00000395643;A0PJK1-2;ENSG00000154025;A0PJK1
TMEM223;ENST00000307366;;ENSG00000168569;A0PJW6
DAPL1;ENST00000309950;;ENSG00000163331;A0PJW8
CIB4;ENST00000288861;;ENSG00000157884;A0PJX0
TLDC2;ENST00000602922;;ENSG00000101342;A0PJX2
TLDC2;ENST00000217320;;ENSG00000101342;A0PJX2
SHISA3;ENST00000319234;;ENSG00000178343;A0PJX4
TMEM82;ENST00000375782;;ENSG00000162460;A0PJX8
FEZF1;ENST00000442488;A0PJY2-1;ENSG00000128610;A0PJY2
FEZF1;ENST00000427185;A0PJY2-2;ENSG00000128610;A0PJY2
GXYLT2;ENST00000389617;;ENSG00000172986;A0PJZ3
TMEM120B;ENST00000449592;;ENSG00000188735;A0PK00
TMEM72;ENST00000389583;A0PK05-1;ENSG00000187783;A0PK05
TMEM72;ENST00000544540;A0PK05-2;ENSG00000187783;A0PK05
CLRN2;ENST00000511148;;ENSG00000249581;A0PK11
LNP1;ENST00000383693;;ENSG00000206535;A1A4G5
ARHGAP10;ENST00000336498;;ENSG00000071205;A1A4S6
CFAP119;ENST00000543610;A1A4V9-1;ENSG00000196118;A1A4V9
CFAP119;ENST00000545825;A1A4V9-4;ENSG00000196118;A1A4V9
IRGM;ENST00000522154;;ENSG00000237693;A1A4Y4
FAM170A;ENST00000695508;A1A519-1;ENSG00000164334;A1A519
FAM170A;ENST00000379555;A1A519-3;ENSG00000164334;A1A519
FAM170A;ENST00000335286;A1A519-2;ENSG00000164334;A1A519
KRTAP23-1;ENST00000334160;;ENSG00000186980;A1A580
ANO9;ENST00000332826;A1A5B4-1;ENSG00000185101;A1A5B4
SLC22A23;ENST00000406686;A1A5C7-1;ENSG00000137266;A1A5C7
SLC22A23;ENST00000380302;A1A5C7-2;ENSG00000137266;A1A5C7
SLC22A23;ENST00000490273;A1A5C7-2;ENSG00000137266;A1A5C7
SLC22A23;ENST00000380298;A1A5C7-4;ENSG00000137266;A1A5C7
BICDL2;ENST00000572449;A1A5D9-1;ENSG00000162069;A1A5D9
BICDL2;ENST00000573514;A1A5D9-2;ENSG00000162069;A1A5D9
BICDL2;ENST00000389347;A1A5D9-1;ENSG00000162069;A1A5D9
ODAM;ENST00000683306;;ENSG00000109205;A1E959
ODAM;ENST00000396094;;ENSG00000109205;A1E959
ARHGEF37;ENST00000333677;;ENSG00000183111;A1IGU5
FAM168B;ENST00000409185;A1KXE4-1;ENSG00000152102;A1KXE4
FAM168B;ENST00000389915;A1KXE4-1;ENSG00000152102;A1KXE4
PXDNL;ENST00000356297;A1KZ92-1;ENSG00000147485;A1KZ92
MEX3A;ENST00000532414;;ENSG00000254726;A1L020
ILVBL;ENST00000263383;;ENSG00000105135;A1L0T0
TSPAN11;ENST00000546076;;ENSG00000110900;A1L157
TSPAN11;ENST00000261177;;ENSG00000110900;A1L157
ERICH2;ENST00000409885;;ENSG00000204334;A1L162
UBE2QL1;ENST00000399816;;ENSG00000215218;A1L167
C20orf202;ENST00000400633;;ENSG00000215595;A1L168
C1orf226;ENST00000426197;A1L170-2;ENSG00000239887;A1L170
C1orf226;ENST00000458626;A1L170-1;ENSG00000239887;A1L170
NDUFAF8;ENST00000431388;;ENSG00000224877;A1L188
SYCE3;ENST00000406915;;ENSG00000217442;A1L190
SYCE3;ENST00000402753;;ENSG00000217442;A1L190
IGSF23;ENST00000402988;;ENSG00000216588;A1L1A6
PLEKHG3;ENST00000247226;A1L390-1;ENSG00000126822;A1L390
PLEKHG3;ENST00000394691;A1L390-3;ENSG00000126822;A1L390
ELOVL7;ENST00000508821;;ENSG00000164181;A1L3X0
ELOVL7;ENST00000425382;;ENSG00000164181;A1L3X0
GAGE12C;ENST00000420398;;ENSG00000237671;A1L429
GAGE12D;ENST00000405679;;ENSG00000227488;A1L429
GAGE12E;ENST00000381698;;ENSG00000216649;A1L429
NUTM2F;ENST00000253262;;ENSG00000130950;A1L443
PRSS38;ENST00000366757;;ENSG00000185888;A1L453
SSC5D;ENST00000389623;A1L4H1-1;ENSG00000179954;A1L4H1
SSC5D;ENST00000587166;A1L4H1-2;ENSG00000179954;A1L4H1
FSD2;ENST00000334574;A1L4K1-1;ENSG00000186628;A1L4K1
FSD2;ENST00000541889;A1L4K1-2;ENSG00000186628;A1L4K1
PLAC8L1;ENST00000311450;;ENSG00000173261;A1L4L8
SH3PXD2B;ENST00000311601;;ENSG00000174705;A1X283
CIBAR1;ENST00000518322;A1XBS5-1;ENSG00000188343;A1XBS5
CIBAR1;ENST00000423990;A1XBS5-2;ENSG00000188343;A1XBS5
ZBTB7C;ENST00000535628;;ENSG00000184828;A1YPR0
ZBTB7C;ENST00000588982;;ENSG00000184828;A1YPR0
ZBTB7C;ENST00000586438;;ENSG00000184828;A1YPR0
ZBTB7C;ENST00000590800;;ENSG00000184828;A1YPR0
MACROD2;ENST00000217246;A1Z1Q3-2;ENSG00000172264;A1Z1Q3
MACROD2;ENST00000684519;A1Z1Q3-1;ENSG00000172264;A1Z1Q3
MACROD2;ENST00000402914;A1Z1Q3-4;ENSG00000172264;A1Z1Q3
MACROD2;ENST00000407045;A1Z1Q3-6;ENSG00000172264;A1Z1Q3
ZC3H12D;ENST00000409806;A2A288-1;ENSG00000178199;A2A288
SERTM1;ENST00000315190;;ENSG00000180440;A2A2V5
FRMD3;ENST00000328788;A2A2Y4-4;ENSG00000172159;A2A2Y4
FRMD3;ENST00000376434;A2A2Y4-3;ENSG00000172159;A2A2Y4
FRMD3;ENST00000376438;A2A2Y4-2;ENSG00000172159;A2A2Y4
FRMD3;ENST00000304195;A2A2Y4-1;ENSG00000172159;A2A2Y4
FRMD3;ENST00000621208;A2A2Y4-5;ENSG00000172159;A2A2Y4
ANKRD18B;ENST00000290943;;ENSG00000230453;A2A2Z9
MAGEB16;ENST00000399988;;ENSG00000189023;A2A368
MAGEB16;ENST00000399987;;ENSG00000189023;A2A368
MAGEB16;ENST00000399989;;ENSG00000189023;A2A368
MAGEB16;ENST00000399985;;ENSG00000189023;A2A368
PTPDC1;ENST00000375360;A2A3K4-1;ENSG00000158079;A2A3K4
PTPDC1;ENST00000650567;A2A3K4-1;ENSG00000158079;A2A3K4
PTPDC1;ENST00000288976;A2A3K4-2;ENSG00000158079;A2A3K4
TTC24;ENST00000368236;;ENSG00000187862;A2A3L6
BCLAF3;ENST00000379682;A2AJT9-1;ENSG00000173681;A2AJT9
BCLAF3;ENST00000379687;A2AJT9-2;ENSG00000173681;A2AJT9
DYTN;ENST00000452335;;ENSG00000232125;A2CJ06
CCDC78;ENST00000293889;A2IDD5-1;ENSG00000162004;A2IDD5
TARP;ENST00000698248;;ENSG00000289746;A2JGV3
HFM1;ENST00000370425;A2PYH4-1;ENSG00000162669;A2PYH4
ZNF320;ENST00000391781;;ENSG00000182986;A2RRD8
ZNF320;ENST00000595635;;ENSG00000182986;A2RRD8
ZNF320;ENST00000682928;;ENSG00000182986;A2RRD8
WDR27;ENST00000448612;A2RRH5-4;ENSG00000184465;A2RRH5
WDR27;ENST00000423258;A2RRH5-2;ENSG00000184465;A2RRH5
TMEM213;ENST00000397602;A2RRL7-3;ENSG00000214128;A2RRL7
TMEM213;ENST00000442682;A2RRL7-1;ENSG00000214128;A2RRL7
